formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
BaGa4S7,818.25,2.170833333,24.33333333,1.1775,53.39166667,1470.225,2.7575,1.18,3579,3.465833333,5.175,409.3,76.75,0.064166667,24.21666667,2.054166667,10,14,3.333333333,0,106.2166667,2.1825,3.583333333,1.491666667,2.833333333,5.916666667,4.666666667,13.83333333,273.0833333,3.5125,103.7833333,1.195833333,0.916666667,2.48,4.666666667,4.666666667,7.7,0.554166667,15.22416667,0,0,2.666666667,2,9819,26.05,292,14.13,640.7,17642.7,33.09,14.16,42948,41.59,62.1,4911.6,921,0.77,290.6,24.65,120,168,40,0,1274.6,26.19,43,17.9,34,71,56,166,3277,42.15,1245.4,14.35,11,29.76,56,56,92.4,6.65,182.69,0,0,32,24,497,1.71,40,1.65,105.26,1958.3,0.95,0.96,6306,3.83,1.68,695.2,79,0.05,5.24,1.51,0,0,4,0,125,1.69,3,2.3,3,5,4,14,106,6.03,248.9,1.15,1,1.44,4,4,36.8,0.51,40.33,0,0,4,0,3.54
CsCd4In5Se12,815,2.009090909,40.90909091,1.344545455,95.64409091,1289.013636,2.161818182,1.331363636,3114.181818,5.931818182,5.017272727,486.7409091,78.54545455,0.061363636,25.93590909,1.905,5.909090909,14,3.590909091,0.045454545,114.4545455,2.138636364,4.5,1.769090909,2.454545455,5.727272727,4.181818182,13.90909091,203,5.610454545,94.36,1.379545455,0.772727273,2.725454545,6.181818182,4.136363636,8.295454545,0.279545455,38.06090909,4.090909091,0,2.409090909,1.954545455,17930,44.2,900,29.58,2104.17,28358.3,47.56,29.29,68512,130.5,110.38,10708.3,1728,1.35,570.59,41.91,130,308,79,1,2518,47.05,99,38.92,54,126,92,306,4466,123.43,2075.92,30.35,17,59.96,136,91,182.5,6.15,837.34,90,0,53,43,565,1.77,21,1.95,53.95,1411,1.72,1.09,4973,6.78,1.84,292.5,84,0.07,6.63,1.52,10,0,4,1,160,1.76,2,3.02,4,6,5,15,164,4.6,193.8,1.45,1,3.44,11,5,55.8,0.09,96.28,10,0,4,1,1.62
Cd4GdB3O10,1089.333333,2.745555556,19.5,0.898888889,44.40666667,1190.291667,2.911666667,0.960555556,1772.655556,2.751111111,6.5719,642.5722222,77.38888889,0.057233333,17.76986111,2.731111111,7.722222222,13.61111111,3.611111111,0,73.76111111,2.693333333,2.888888889,1.105,2.444444444,5.944444444,4.222222222,13.88888889,280.8333333,10.42277778,125.6044444,0.919444444,0.888888889,1.653333333,6.666666667,4.388888889,3.844444444,0.745,26.61666667,2.277777778,0.388888889,2.388888889,2,19608,49.42,351,16.18,799.32,21425.25,52.41,17.29,31907.8,49.52,118.2942,11566.3,1393,1.0302,319.8575,49.16,139,245,65,0,1327.7,48.48,52,19.89,44,107,76,250,5055,187.61,2260.88,16.55,16,29.76,120,79,69.2,13.41,479.1,41,7,43,36,721,2.52,59,1.85,146.44,4184.85,4.65,0.88,8515.42,8.65,4.45,2297.4,60,0.22,25.1375,2.52,10,7,4,0,126.3,2.24,4,3.44,4,4,5,13,461,49.98,486.29,1.2,3,4.44,9,4,22.71,0.79,96.77,10,7,4,0,3.8
Ca2Si,655.6666667,1.326666667,18,1.663333333,36.08333333,2047.483333,2.77,1.53,3639.666667,1.81,3.403333333,1302.483333,30.66666667,0.053333333,23.48,1.363333333,10,14,5.333333333,0,148.2666667,1.3,3.666666667,2.473333333,2,3.333333333,2.666666667,6,269.3333333,22.54333333,230.2733333,1.566666667,0.333333333,2.666666667,2.666666667,2.666666667,17,0.656666667,182.6666667,0,0,0.666666667,2,1967,3.98,54,4.99,108.25,6142.45,8.31,4.59,10919,5.43,10.21,3907.45,92,0.16,70.44,4.09,30,42,16,0,444.8,3.9,11,7.42,6,10,8,18,808,67.63,690.82,4.7,1,8,8,8,51,1.97,548,0,0,2,6,197,0.89,6,0.83,11.99,871,2.79,0.63,2279,0.78,1.18,571,71,0.04,5.31,0.76,0,0,2,0,62.2,0.9,1,1.58,0,4,2,12,274,42.01,230.92,0.7,1,2,2,2,17.4,0.08,52,0,0,2,0,1.9
Cs2ZnGe3Se8,819.4285714,2.022857143,36.28571429,1.383571429,84.33714286,1431.292857,2.441428571,1.339285714,3322.285714,4.653571429,5.186428571,634.1928571,73.42857143,0.058571429,25.79857143,1.925,9.285714286,14,3.285714286,0.142857143,119.3928571,2.118571429,4.285714286,1.821428571,2.857142857,5.714285714,4.5,13.14285714,231.1428571,12.56,110.3628571,1.392857143,0.928571429,2.46,5.285714286,4.571428571,12.45,0.313571429,26.54714286,0.714285714,0,2.714285714,1.857142857,11472,28.32,508,19.37,1180.72,20038.1,34.18,18.75,46512,65.15,72.61,8878.7,1028,0.82,361.18,26.95,130,196,46,2,1671.5,29.66,60,25.5,40,80,63,184,3236,175.84,1545.08,19.5,13,34.44,74,64,174.3,4.39,371.66,10,0,38,26,565,1.77,25,1.95,67.52,2161,3.05,1.09,6643,5.26,2.01,919,84,0.1,8.66,1.52,10,0,4,1,160,1.76,2,3.02,4,6,5,15,298,34.85,293.2,1.45,2,3.44,11,5,55.8,0.15,115.48,10,0,4,1,2.31
Rb1.45Pb3.1Sb7.45Se15,856.75,2.14732963,44.36296296,1.258333333,105.8430926,1428.37963,2.404185185,1.307314815,3107.457407,5.898111111,5.295212593,607.5057407,82.41296296,0.054518519,25.85285556,2.048722222,6.092592593,12.39259259,2.72037037,0.053703704,110.15,2.241055556,4.559259259,1.665203704,3.333333333,6.172222222,5.225925926,14.68888889,225.5259259,9.867922222,66.51044444,1.371851852,0.946296296,2.272740741,5.225925926,4.398148148,7.253148148,0.269981481,14.17240741,3.907407407,1.607407407,3.27962963,1.946296296,23132.25,57.9779,1197.8,33.975,2857.7635,38566.25,64.913,35.2975,83901.35,159.249,142.97074,16402.655,2225.15,1.472,698.0271,55.3155,164.5,334.6,73.45,1.45,2974.05,60.5085,123.1,44.9605,90,166.65,141.1,396.6,6089.2,266.4339,1795.782,37.04,25.55,61.364,141.1,118.75,195.835,7.2895,382.655,105.5,43.4,88.55,52.55,538,1.72,48,1.62,128.24,1265,1.9,0.95,3643,9.87,2.57,592.1,85,0.04,5.75,1.48,10,14,4,1,136.9,1.73,2,2.81,3,6,5,15,176,17.68,140,1.2,1,2,5,5,43.5,0.23,57.68,10,14,4,1,0.45
AgIn9Te14,746.625,1.960416667,50.66666667,1.37125,121.9854167,1722.7,2.345416667,1.39125,4194,6.81875,4.92,634.1666667,83.33333333,0.055833333,25.84666667,1.84375,0,14,3.291666667,0.041666667,121.9916667,1.972916667,5,1.842083333,2.708333333,5.541666667,4.708333333,14.66666667,217.875,11.89583333,127.9075,1.464583333,0.958333333,2.683333333,5.083333333,1.958333333,7.175,0.212916667,49.84583333,10,0,2.708333333,1.958333333,17919,47.05,1216,32.91,2927.65,41344.8,56.29,33.39,100656,163.65,118.08,15220,2000,1.34,620.32,44.25,0,336,79,1,2927.8,47.35,120,44.21,65,133,113,352,5229,285.5,3069.78,35.15,23,64.4,122,47,172.2,5.11,1196.3,240,0,65,47,311,0.5,5,0.42,19.73,1222.2,0.76,0.18,5151,4.26,1.59,805.4,25,0.05,1.06,0.63,0,0,4,1,27.1,0.32,0,0.71,4,2,4,5,87,14.23,198.03,0.2,1,3.44,8,1,4.2,0.04,426.65,0,0,4,1,1.5
Rb3CdB5O10,1011.684211,2.631578947,13.89473684,0.984736842,30.67736842,1378.531579,3.103157895,1.011052632,1431.831579,1.312631579,6.325789474,728.3394737,69.05263158,0.065263158,16.90842105,2.644210526,9.473684211,14,3.631578947,0.157894737,86.44736842,2.565789474,2.631578947,1.222105263,2.526315789,5.631578947,4.157894737,12.63157895,301.3157895,13.99789474,147.3068421,0.992105263,0.789473684,1.181052632,4.736842105,4.210526316,9.052631579,0.821578947,21.40526316,0.526315789,0,2.368421053,1.842105263,19222,50,264,18.71,582.87,26192.1,58.96,19.21,27204.8,24.94,120.19,13838.45,1312,1.24,321.26,50.24,180,266,69,3,1642.5,48.75,50,23.22,48,107,79,240,5725,265.96,2798.83,18.85,15,22.44,90,80,172,15.61,406.7,10,0,45,35,911,2.9,43,2.17,101.6,4184.85,4.96,1.38,3129.42,8.65,5.18,2297.4,83,0.22,19.99,2.79,10,0,4,1,183.7,2.62,3,3.63,4,6,5,15,487,49.98,486.29,1.75,1,4.44,11,5,46.51,0.79,96.77,10,0,4,1,2.34
ReSe2,880.6666667,2.153333333,47.66666667,1.313333333,114.709,2596.483333,4.316666667,1.303333333,8004.666667,10.19333333,6.174666667,1477.816667,77.33333333,0.077666667,24.91563667,1.99,8.333333333,9.333333333,3.333333333,0,104.8666667,2.333333333,4.666666667,1.753333333,4.333333333,6,5.666666667,13,408,15.52666667,263.4666667,1.216666667,1.333333333,3.26,6.333333333,4.666666667,5.766666667,0.256666667,16.31333333,1.666666667,4.666666667,2.666666667,2,2642,6.46,143,3.94,344.127,7789.45,12.95,3.91,24014,30.58,18.524,4433.45,232,0.233,74.74691,5.97,25,28,10,0,314.6,7,14,5.26,13,18,17,39,1224,46.58,790.4,3.65,4,9.78,19,14,17.3,0.77,48.94,5,14,8,6,181,0.83,41,0.85,107.247,4915,5.57,0.43,18743,16.21,1.244,2963,35,0.053,1.06309,0.96,5,14,4,0,39.2,0.65,2,1.39,1,3,1,9,543,26.51,677.3,0.2,1,3.78,1,4,5.9,0.19,47.38,5,14,4,0,1.07
PbSe0.01S0.99,857.705,2.2212,49.09,1.21075,119.86945,1366.7015,2.43805,1.2457,3359.215,6.7486,5.29475,493.821,84.505,0.0575,24.8655,2.1241,5,7,3,0,101.304,2.22485,4.505,1.59595,3,6,5,15,237.24,3.28435,93.8895,1.40075,1,2.22,5,5,4.8545,0.41805,17.78625,5,7,3,2,1715.41,4.4424,98.18,2.4215,239.7389,2733.403,4.8761,2.4914,6718.43,13.4972,10.5895,987.642,169.01,0.115,49.731,4.2482,10,14,6,0,202.608,4.4497,9.01,3.1919,6,12,10,30,474.48,6.5687,187.779,2.8015,2,4.44,10,10,9.709,0.8361,35.5725,10,14,6,4,284,0.736,66,0.66,175.13,1295.3,0.82,0.45,4086,9.33,1.1096,214.7,8,0.005,4.166,0.73,10,14,2,0,40.5,0.71,3,0.99,2,2,2,2,83,4.97,167.9,0.8,0,0.44,2,2,3.9,0.58,35.03,10,14,2,0,0.366
CsLu7Se11,757.6315789,1.843157895,48.73684211,1.552631579,117.1704737,1958.307895,3.098421053,1.379473684,2423.421053,6.496842105,5.845621053,1012.960526,66.89473684,0.055968421,25.97817632,1.791578947,9.631578947,8.842105263,3.684210526,0.052631579,123.6157895,1.985789474,4.842105263,2.215263158,2.736842105,5.210526316,4.631578947,10.42105263,292.8947368,10.83578947,156.5126316,1.447368421,1.315789474,2.315789474,4.631578947,4.263157895,13.40526316,0.253157895,8.232631579,0.368421053,5.157894737,2.315789474,1.947368421,14395,35.02,926,29.5,2226.239,37207.85,58.87,26.21,46045,123.44,111.0668,19246.25,1271,1.0634,493.58535,34.04,183,168,70,1,2348.7,37.73,92,42.09,52,99,88,198,5565,205.88,2973.74,27.5,25,44,88,81,254.7,4.81,156.42,7,98,44,37,565,1.77,37,1.95,96.007,2733,3.63,1.09,1783,7.97,1.7524,1634.6,84,0.05,6.63,1.52,1,14,4,1,160,1.76,2,3.02,3,6,5,15,348,16.51,318.2,1.45,2,2,5,5,55.8,0.17,35.38,1,14,4,1,1.78
SmB6,764.4285714,1.912857143,13.14285714,1.085714286,30.74571429,3959.592857,5.285714286,0.934285714,3592,3.08,4.642214286,2208.578571,65,0.195714286,13.75028571,1.881428571,10,13.14285714,5.142857143,0,93,1.915714286,2.571428571,1.277142857,1.714285714,5.571428571,3,11.57142857,520.7142857,44.26142857,443.5142857,0.992857143,1.285714286,2.971428571,3,2.857142857,6.685714286,0.902857143,25.04285714,0,0.857142857,0.857142857,2,5351,13.39,92,7.6,215.22,27717.15,37,6.54,25144,21.56,32.4955,15460.05,455,1.37,96.252,13.17,70,92,36,0,651,13.41,18,8.94,12,39,21,81,3645,309.83,3104.6,6.95,9,20.8,21,20,46.8,6.32,175.3,0,6,6,14,256,0.96,57,1.51,139.55,2207.85,3.67,0.8,2156,5.18,0.2955,1005,49,0.17,19.042,0.97,0,6,1,0,107.8,0.87,4,3.34,5,3,0,10,366,41.57,323.3,1,2,0.2,0,1,25.8,0.82,13.7,0,6,1,0,3.5
PdO,1059,2.6,27,1.085,61.21,1751.65,3.255,1.02,3627.29,6,6.08,940.95,74.5,0.055,20.13,2.615,5,14,4,1,50.85,2.82,3.5,1.46,2,5.5,4.5,13,313.5,8.91,180.205,1,1.5,2.89,8,3,2.795,0.58,35.915,5,0,2,1,2118,5.2,54,2.17,122.42,3503.3,6.51,2.04,7254.58,12,12.16,1881.9,149,0.11,40.26,5.23,10,28,8,2,101.7,5.64,7,2.92,4,11,9,26,627,17.82,360.41,2,3,5.78,16,6,5.59,1.16,71.83,10,0,4,2,510,2.02,38,1.21,90.42,3323,1.27,0.58,6945.42,12,4.58,1772.4,25,0.11,10.82,2.01,10,0,4,2,11.7,1.24,3,1.98,4,3,3,6,129,17.38,353.59,0.8,1,5.78,4,6,4.01,0.68,71.77,10,0,4,2,0.8
AgInS2,822.25,2.1775,32,1.2425,71.7075,1568.5,2.7925,1.2525,4209.5,5.4875,4.945,609.2,79,0.07,24.325,1.9875,5,14,3.75,0.25,107.2,2.2175,4,1.6575,2.25,5.75,4.25,14,271.25,4.5,125.42,1.2875,0.75,3.22,6.5,3.75,5.85,0.4725,127.785,5,0,2.25,1.75,3289,8.71,128,4.97,286.83,6274,11.17,5.01,16838,21.95,19.78,2436.8,316,0.28,97.3,7.95,20,56,15,1,428.8,8.87,16,6.63,9,23,17,56,1085,18,501.68,5.15,3,12.88,26,15,23.4,1.89,511.14,20,0,9,7,442,0.93,33,0.77,82.75,1767.3,0.43,0.51,6166,8.43,2,849.2,23,0.04,3.64,1.04,10,0,4,1,57.2,0.8,2,1.28,4,3,4,5,41,9.58,240.78,0.6,1,3.44,8,5,6.8,0.48,428.73,10,0,4,1,1.926666667
Na2TeSe3,780.6666667,1.865,29.33333333,1.353333333,68.41,1074.95,1.965,1.318333333,2124.333333,3.758333333,4.633333333,489.1666667,60.16666667,0.051666667,26.315,1.818333333,8.333333333,14,3.333333333,0.333333333,121.5166667,1.935,3.833333333,1.806666667,3,4.833333333,4.333333333,11,182.6666667,7.126666667,59.92833333,1.408333333,0.666666667,1.666666667,4.333333333,3.666666667,10.68333333,0.603333333,47.65166667,1.666666667,0,2.666666667,1.666666667,4684,11.19,176,8.12,410.46,6449.7,11.79,7.91,12746,22.55,27.8,2935,361,0.31,157.89,10.91,50,84,20,2,729.1,11.61,23,10.84,18,29,26,66,1096,42.76,359.57,8.45,4,10,26,22,64.1,3.62,285.91,10,0,16,10,445,1.56,41,0.87,104.61,304.8,1.35,0.38,816,5.27,3.22,351.7,88,0.02,3.01,1.36,10,0,4,1,79.5,1.62,2,1.36,3,6,5,15,118,14.89,59.26,0.65,1,1,5,5,19.8,1.03,140.48,10,0,4,1,1.91
PbTe,792.5,2.007,67,1.385,167.4,1638.05,2.11,1.41,3864.5,8.82,5.0902,661.65,85.5,0.0525,26.228,1.92,0,7,3,0,116.3,1.985,5.5,1.88,3,5.5,5,15,196.5,11.1445,115.125,1.6,1,2.22,5,3,6.15,0.165,18.825,10,7,3,2,1585,4.014,134,2.77,334.8,3276.1,4.22,2.82,7729,17.64,10.1804,1323.3,171,0.105,52.456,3.84,0,14,6,0,232.6,3.97,11,3.76,6,11,10,30,393,22.289,230.25,3.2,2,4.44,10,6,12.3,0.33,37.65,20,14,6,4,153,0.306,30,0.31,79.6,750.2,0.16,0.12,3071,5.16,0.6996,122,9,0.005,1.416,0.32,0,14,2,0,10.4,0.23,1,0.42,2,1,2,2,1,12.691,125.15,0.4,0,0.44,2,2,1.3,0.07,32.95,0,14,2,0,0.278833333
RbMoPO6,1109.222222,2.898888889,15.77777778,0.934444444,34.26444444,770.9277778,2.98,1,1496.053333,1.505555556,6.88,427.55,73.22222222,0.021111111,18.57555556,2.892222222,9.444444444,14,3,0.222222222,82.51111111,2.867777778,2.777777778,1.208888889,3.666666667,6,5.111111111,13.11111111,283.6666667,4.018888889,78.09,0.933333333,1,1.086666667,5.333333333,4.777777778,7.604444444,0.766666667,21.84666667,0.555555556,0,3,1.777777778,9983,26.09,142,8.41,308.38,6938.35,26.82,9,13464.48,13.55,61.92,3847.95,659,0.19,167.18,26.03,85,126,27,2,742.6,25.81,25,10.88,33,54,46,118,2553,36.17,702.81,8.4,9,9.78,48,43,68.44,6.9,196.62,5,0,27,16,911,2.9,34,2.17,79.94,4795,5.97,1.38,9295.42,10.2,5.18,2835.4,83,0.11,16.3,2.79,5,0,4,1,183.7,2.62,3,3.63,4,6,5,15,572,31.78,594.59,1.75,2,5.78,5,5,46.51,0.67,137.97,5,0,4,1,2.96
CaTe,729.5,1.595,36,1.585,83.84,1510.05,2.015,1.545,2604.5,3.895,4.225,917.4,48.5,0.045,25.385,1.595,5,14,4,0,140.05,1.55,4.5,2.335,3,4,4,9,187.5,13.015,102.925,1.6,0.5,2,4,2,14.15,0.415,101.175,5,0,2,2,1459,3.19,72,3.17,167.68,3020.1,4.03,3.09,5209,7.79,8.45,1834.8,97,0.09,50.77,3.19,10,28,8,0,280.1,3.1,9,4.67,6,8,8,18,375,26.03,205.85,3.2,1,4,8,4,28.3,0.83,202.35,10,0,4,4,279,1.13,32,0.71,87.52,494.2,0.35,0.39,551,4.69,2.43,389.5,83,0.01,0.27,0.97,10,0,4,0,57.9,1.1,1,1.33,2,4,4,14,19,8.95,100.75,0.4,1,0,4,0,17.3,0.43,197.65,10,0,4,0,4.185
K3Ta2AsSe11,828.0588235,1.988823529,35.88235294,1.397647059,83.68681176,1525.032353,2.882941176,1.328823529,2858.588235,5.541176471,5.296917647,825.2529412,68.70588235,0.057847059,25.95973012,1.915294118,9.647058824,12.35294118,3.235294118,0.176470588,120.0647059,2.099411765,4.235294118,1.897647059,3.294117647,5.529411765,4.705882353,12,272.5294118,10.08705882,127.9452941,1.370588235,0.941176471,2.235294118,4.941176471,4.588235294,11.91176471,0.375294118,28.11294118,0.352941176,1.647058824,2.764705882,1.823529412,14077,33.81,610,23.76,1422.6758,25925.55,49.01,22.59,48596,94.2,90.0476,14029.3,1168,0.9834,441.315412,32.56,164,210,55,3,2041.1,35.69,72,32.26,56,94,80,204,4633,171.48,2175.07,23.3,16,38,84,78,202.5,6.38,477.92,6,28,47,31,528,1.7,54,1.4,141.8479,4808,7.17,0.8,8493,15.74,3.7838,2932.75,86,0.0717,4.6,1.47,3,14,4,1,124.4,1.73,2,2.4,3,6,5,15,692,29.27,708.24,1.05,2,4,5,5,39.6,0.61,101.88,3,14,4,1,1.45
CaB6,770.8571429,1.904285714,7.142857143,1.022857143,14.99142857,3915.307143,5.242857143,0.951428571,3226.285714,2.227142857,4.372857143,2175.007143,62.71428571,0.194285714,13.06142857,1.89,10,14,5.142857143,0,90.65714286,1.891428571,2.285714286,1.114285714,1.142857143,5.428571429,2.857142857,11.42857143,516.5714286,44.24857143,441.6428571,0.985714286,0.857142857,2.857142857,2.857142857,2.857142857,5.828571429,0.964285714,51.71428571,0,0,0.857142857,2,5396,13.33,50,7.16,104.94,27407.15,36.7,6.66,22584,15.59,30.61,15225.05,439,1.36,91.43,13.23,70,98,36,0,634.6,13.24,16,7.8,8,38,20,80,3616,309.74,3091.5,6.9,6,20,20,20,40.8,6.75,362,0,0,6,14,211,1.02,15,1.07,29.27,2517.85,3.97,0.92,404,0.79,1.59,1240,65,0.18,14.22,0.91,0,0,1,0,91.4,1.04,2,2.2,1,4,1,11,395,41.66,336.4,0.95,1,1,1,1,19.8,0.39,173,0,0,1,0,4.5
CoP3,949,2.1475,18,1.115,37.96,1200.65,3.67,1.11,2095.5,3.59,4.595,679.975,76.75,0.0825,24.075,2.025,8.25,14,3.75,0,98.45,2.1125,3.25,1.435,4,6.25,4.75,13.5,342.5,4.5425,103.2225,1.0875,1.25,3.695,6,4.25,4.575,0.6825,25.18,1.75,0,2.25,2,3796,8.59,72,4.46,151.84,4802.6,14.68,4.44,8382,14.36,18.38,2719.9,307,0.33,96.3,8.1,33,56,15,0,393.8,8.45,13,5.74,16,25,19,54,1370,18.17,412.89,4.35,5,14.78,24,17,18.3,2.73,100.72,7,0,9,8,252,0.41,12,0.54,27.96,2590,0.96,0.2,4406,7.08,1.46,1450.9,25,0.09,0.9,0.78,7,0,3,0,26.2,0.31,1,0.78,4,3,1,6,110,15.53,364.37,0.35,1,2.78,4,3,3.9,0.35,99.76,7,0,3,0,0.45
AgInTe2,756.75,1.9625,50,1.4175,119.4725,1841.05,2.4625,1.4175,4717,7.5725,4.74,777.55,80,0.065,25.7,1.7825,0,14,3.75,0.25,122.25,1.9775,5,1.9425,2.25,5.25,4.25,14,230.25,12.385,146.795,1.4875,0.75,3.22,6.5,1.75,7.15,0.2175,128.825,10,0,2.25,1.75,3027,7.85,200,5.67,477.89,7364.2,9.85,5.67,18868,30.29,18.96,3110.2,320,0.26,102.8,7.13,0,56,15,1,489,7.91,20,7.77,9,21,17,56,921,49.54,587.18,5.95,3,12.88,26,7,28.6,0.87,515.3,40,0,9,7,311,0.5,5,0.42,19.73,1222.2,0.76,0.18,5151,4.26,1.59,805.4,25,0.05,1.06,0.63,0,0,4,1,27.1,0.32,0,0.71,4,2,4,5,87,14.23,198.03,0.2,1,3.44,8,1,4.2,0.04,426.65,0,0,4,1,0.945
Cs2Cd3B16O28,1080.897959,2.852244898,11.3877551,0.778571429,24.97979592,1549.447959,3.497959184,0.867346939,1420.98449,1.37,6.705714286,848.0132653,77.71428571,0.077142857,14.8977551,2.849183673,9.387755102,14,3.387755102,0.040816327,68.57959184,2.76755102,2.346938776,0.841632653,2.653061224,6.244897959,4.510204082,14.16326531,339.4693878,16.98183673,170.7116327,0.821428571,0.897959184,1.292244898,5.183673469,4.571428571,4.304489796,0.882653061,16.22530612,0.612244898,0,2.612244898,1.959183673,52964,139.76,558,38.15,1224.01,75922.95,171.4,42.5,69628.24,67.13,328.58,41552.65,3808,3.78,729.99,139.61,460,686,166,2,3360.4,135.61,115,41.24,130,306,221,694,16634,832.11,8364.87,40.25,44,63.32,254,224,210.92,43.25,795.04,30,0,128,96,938,2.95,50,2.5,122.1,4184.85,5.01,1.52,3129.42,8.65,4.45,2297.4,82,0.22,20.87,2.83,10,0,4,1,206.8,2.65,4,3.84,4,6,5,15,494,49.98,486.29,2,1,4.44,11,5,58.81,0.79,96.77,10,0,4,1,4.76
Cu3YbSe3,808.7142857,1.99,37,1.38,85.79571429,1837.721429,2.778571429,1.311428571,3707.714286,6.888571429,4.894414286,947.2928571,71.14285714,0.091471429,24.888,1.798571429,5.714285714,12,4.285714286,0.428571429,114.0714286,2.064285714,4.285714286,1.94,2.285714286,5.142857143,3.857142857,12,263.8571429,9.554285714,163.2714286,1.321428571,1.714285714,3.474285714,7.714285714,3.285714286,7.5,0.321428571,177.0657143,4.285714286,2,1.714285714,1.571428571,5661,13.93,259,9.66,600.57,12864.05,19.45,9.18,25954,48.22,34.2609,6631.05,498,0.6403,174.216,12.59,40,84,30,3,798.5,14.45,30,13.58,16,36,27,84,1847,66.88,1142.9,9.25,12,24.32,54,23,52.5,2.25,1239.46,30,14,12,11,338,1.34,41,1.19,109.49,1882,1.89,0.4,3664,4.17,2.3409,866,50,0.0997,1.806,1.18,10,14,4,1,74,1.45,2,2.3,4,4,4,13,186,6.36,262.6,0.6,2,3.44,8,5,17.2,0.23,400.48,10,14,4,1,0.2
